38.8248,40.4915,15.8289,,1.0429,0.4077,,1.03935,0.403
37.5052,39.1257,15.132,,1.0432,0.4035,,,
37.6941,39.365,15.2036,,1.0443,0.4033,,,
38.3817,39.8061,15.4875,,1.0371,0.4035,,,
37.9283,39.307,15.2519,,1.0364,0.4021,,,
38.0697,39.4078,15.301,,1.0351,0.4019,,,
37.9482,39.2516,15.1271,,1.0343,0.3986,,,
37.6391,39.2025,15.1842,,1.0415,0.4034,,,
36.4334,36.0479,13.6981,,0.9894,0.376,,0.98845,0.37843
36.0785,35.504,13.5901,,0.9841,0.3767,,,
36.1671,35.8219,13.72,,0.9905,0.3794,,,
36.6429,36.1452,13.9584,,0.9864,0.3809,,,
36.0812,35.8753,13.6327,,0.9943,0.3778,,,
37.1539,36.3062,13.898,,0.9772,0.3741,,,
35.9092,35.4036,13.7557,,0.9859,0.3831,,,
36.1593,35.695,13.6642,,0.9872,0.3779,,,
35.7861,35.5161,13.5629,,0.9925,0.379,,,
35.7489,35.6411,13.5626,,0.997,0.3794,,,
